GameName,GameTypeId,Images,Operator/Code,ProviderId
Playboy Diamonds,Slots,"[{""GameImageId"":11768,""GameId"":0,""ImageKey"":""featuredGameV2"",""ImageName"":""https://www.goldennuggetcasino.com/static/games/DraftKings/b4ce3d8b-5aaf-4143-808f-67dcb1bfd81d/playboyDiamonds_featuredBanner_1745360426538.jpg""},{""GameImageId"":5803,""GameId"":0,""ImageKey"":""round"",""ImageName"":""https://www.goldennuggetcasino.com/static/games/DraftKings/b4ce3d8b-5aaf-4143-808f-67dcb1bfd81d/playboyDiamonds_square_1745360420184.jpg""},{""GameImageId"":5802,""GameId"":0,""ImageKey"":""square"",""ImageName"":""https://www.goldennuggetcasino.com/static/games/DraftKings/b4ce3d8b-5aaf-4143-808f-67dcb1bfd81d/playboyDiamonds_square_1745360415095.jpg""},{""GameImageId"":11769,""GameId"":0,""ImageKey"":""tallTile"",""ImageName"":""https://www.goldennuggetcasino.com/static/games/DraftKings/b4ce3d8b-5aaf-4143-808f-67dcb1bfd81d/playboyDiamonds_tall_1745360433700.jpg""}]",GNOG,DraftKings
GN Rocket,Slots,"[{""GameImageId"":8134,""GameId"":0,""ImageKey"":""featuredGameV2"",""ImageName"":""https://www.goldennuggetcasino.com/static/games/DraftKings2/a51cf21f-83e8-4ef9-ac6d-054c9b75646b/GNOG_rocket_featuredBanner_1736619601850.jpg""},{""GameImageId"":6157,""GameId"":0,""ImageKey"":""round"",""ImageName"":""https://www.goldennuggetcasino.com/static/games/DraftKings2/a51cf21f-83e8-4ef9-ac6d-054c9b75646b/GNOG-DK-Rocket-v3.jpg""},{""GameImageId"":6156,""GameId"":0,""ImageKey"":""square"",""ImageName"":""https://www.goldennuggetcasino.com/static/games/DraftKings2/a51cf21f-83e8-4ef9-ac6d-054c9b75646b/GNOG_rocket_square_1736619554545.jpg""},{""GameImageId"":9620,""GameId"":0,""ImageKey"":""tallTile"",""ImageName"":""https://www.goldennuggetcasino.com/static/games/DraftKings2/a51cf21f-83e8-4ef9-ac6d-054c9b75646b/GNOG_rocket_tall_1736619576600.jpg""}]",GNOG,DraftKings2
GN Rocket,Slots,"[{""GameImageId"":8134,""GameId"":0,""ImageKey"":""featuredGameV2"",""ImageName"":""https://www.goldennuggetcasino.com/static/games/DraftKings2/a51cf21f-83e8-4ef9-ac6d-054c9b75646b/GNOG_rocket_featuredBanner_1736619601850.jpg""},{""GameImageId"":6157,""GameId"":0,""ImageKey"":""round"",""ImageName"":""https://www.goldennuggetcasino.com/static/games/DraftKings2/a51cf21f-83e8-4ef9-ac6d-054c9b75646b/GNOG-DK-Rocket-v3.jpg""},{""GameImageId"":6156,""GameId"":0,""ImageKey"":""square"",""ImageName"":""https://www.goldennuggetcasino.com/static/games/DraftKings2/a51cf21f-83e8-4ef9-ac6d-054c9b75646b/GNOG_rocket_square_1736619554545.jpg""},{""GameImageId"":9620,""GameId"":0,""ImageKey"":""tallTile"",""ImageName"":""https://www.goldennuggetcasino.com/static/games/DraftKings2/a51cf21f-83e8-4ef9-ac6d-054c9b75646b/GNOG_rocket_tall_1736619576600.jpg""}]",GNOG,DraftKings2
NHL Slapshot,Slots,"[{""GameImageId"":5405,""GameId"":0,""ImageKey"":""featuredGameV2"",""ImageName"":""https://www.goldennuggetcasino.com/static/games/DraftKings2/908ee9d4-a5f6-430d-a05f-fcad061cbb29/NHL_featuredBanner_1745360352827.jpg""},{""GameImageId"":4523,""GameId"":0,""ImageKey"":""round"",""ImageName"":""https://www.goldennuggetcasino.com/static/games/DraftKings2/908ee9d4-a5f6-430d-a05f-fcad061cbb29/NHL_slapshot_square_1745360347249.jpg""},{""GameImageId"":4522,""GameId"":0,""ImageKey"":""square"",""ImageName"":""https://www.goldennuggetcasino.com/static/games/DraftKings2/908ee9d4-a5f6-430d-a05f-fcad061cbb29/NHL_slapshot_square_1745360342198.jpg""},{""GameImageId"":13664,""GameId"":0,""ImageKey"":""tallTile"",""ImageName"":""https://www.goldennuggetcasino.com/static/games/DraftKings2/908ee9d4-a5f6-430d-a05f-fcad061cbb29/NHL_tall_1745360358426.jpg""}]",GNOG,DraftKings2
NHL Slapshot,Slots,"[{""GameImageId"":5405,""GameId"":0,""ImageKey"":""featuredGameV2"",""ImageName"":""https://www.goldennuggetcasino.com/static/games/DraftKings2/908ee9d4-a5f6-430d-a05f-fcad061cbb29/NHL_featuredBanner_1745360352827.jpg""},{""GameImageId"":4523,""GameId"":0,""ImageKey"":""round"",""ImageName"":""https://www.goldennuggetcasino.com/static/games/DraftKings2/908ee9d4-a5f6-430d-a05f-fcad061cbb29/NHL_slapshot_square_1745360347249.jpg""},{""GameImageId"":4522,""GameId"":0,""ImageKey"":""square"",""ImageName"":""https://www.goldennuggetcasino.com/static/games/DraftKings2/908ee9d4-a5f6-430d-a05f-fcad061cbb29/NHL_slapshot_square_1745360342198.jpg""},{""GameImageId"":13664,""GameId"":0,""ImageKey"":""tallTile"",""ImageName"":""https://www.goldennuggetcasino.com/static/games/DraftKings2/908ee9d4-a5f6-430d-a05f-fcad061cbb29/NHL_tall_1745360358426.jpg""}]",GNOG,DraftKings2
Neptune Waves of Wonder,Slots,"[{""GameImageId"":13445,""GameId"":0,""ImageKey"":""featuredGameV2"",""ImageName"":""https://www.goldennuggetcasino.com/static/games/DraftKings/a988c64e-25a4-43c1-8898-c5ea96e7ee43/neptune_featuredBanner_1745360281053.jpg""},{""GameImageId"":2079,""GameId"":0,""ImageKey"":""round"",""ImageName"":""https://www.goldennuggetcasino.com/static/games/DraftKings/a988c64e-25a4-43c1-8898-c5ea96e7ee43/neptune_round.png""},{""GameImageId"":2078,""GameId"":0,""ImageKey"":""square"",""ImageName"":""https://www.goldennuggetcasino.com/static/games/DraftKings/a988c64e-25a4-43c1-8898-c5ea96e7ee43/neptune_square_1745360273705.jpg""},{""GameImageId"":13446,""GameId"":0,""ImageKey"":""tallTile"",""ImageName"":""https://www.goldennuggetcasino.com/static/games/DraftKings/a988c64e-25a4-43c1-8898-c5ea96e7ee43/neptune_tall_1745360286965.jpg""}]",GNOG,DraftKings
American Treasures,Slots,"[{""GameImageId"":12866,""GameId"":0,""ImageKey"":""round"",""ImageName"":""https://www.goldennuggetcasino.com/static/games/DraftKings/a423d4ed-b21e-4ee2-8cd7-bcbe4a5899f3/American Treasures_1742221576187.jpg""},{""GameImageId"":12865,""GameId"":0,""ImageKey"":""square"",""ImageName"":""https://www.goldennuggetcasino.com/static/games/DraftKings/a423d4ed-b21e-4ee2-8cd7-bcbe4a5899f3/American Treasures_1742221571777.jpg""}]",GNOG,DraftKings
American Treasures,Slots,"[{""GameImageId"":12866,""GameId"":0,""ImageKey"":""round"",""ImageName"":""https://www.goldennuggetcasino.com/static/games/DraftKings/a423d4ed-b21e-4ee2-8cd7-bcbe4a5899f3/American Treasures_1742221576187.jpg""},{""GameImageId"":12865,""GameId"":0,""ImageKey"":""square"",""ImageName"":""https://www.goldennuggetcasino.com/static/games/DraftKings/a423d4ed-b21e-4ee2-8cd7-bcbe4a5899f3/American Treasures_1742221571777.jpg""}]",GNOG,DraftKings
Digits,Slots,"[{""GameImageId"":10307,""GameId"":0,""ImageKey"":""animatedSquare"",""ImageName"":""https://casino.draftkings.com/static/games/DraftKings/ab46f24d-cccb-4038-8004-25f82301abcd/Digits_1731528762906.webp""},{""GameImageId"":16487,""GameId"":0,""ImageKey"":""featuredGameBreakout"",""ImageName"":""https://www.goldennuggetcasino.com/static/games/DraftKings/ab46f24d-cccb-4038-8004-25f82301abcd/FeaturedBreakout_Digits_978x411_1758185275552.png""},{""GameImageId"":9286,""GameId"":0,""ImageKey"":""featuredGameV2"",""ImageName"":""https://www.goldennuggetcasino.com/static/games/DraftKings/ab46f24d-cccb-4038-8004-25f82301abcd/digits_featuredBanner_1743034495884.jpg""},{""GameImageId"":4407,""GameId"":0,""ImageKey"":""round"",""ImageName"":""https://www.goldennuggetcasino.com/static/games/DraftKings/ab46f24d-cccb-4038-8004-25f82301abcd/digits_square_1743034488925.jpg""},{""GameImageId"":4406,""GameId"":0,""ImageKey"":""square"",""ImageName"":""https://www.goldennuggetcasino.com/static/games/DraftKings/ab46f24d-cccb-4038-8004-25f82301abcd/digits_square_1743034483382.jpg""},{""GameImageId"":16351,""GameId"":0,""ImageKey"":""squareBreakout"",""ImageName"":""https://www.goldennuggetcasino.com/static/games/DraftKings/ab46f24d-cccb-4038-8004-25f82301abcd/JumboBreakout_DKDigits_510x510_1758038795137.png""},{""GameImageId"":9359,""GameId"":0,""ImageKey"":""tallTile"",""ImageName"":""https://www.goldennuggetcasino.com/static/games/DraftKings/ab46f24d-cccb-4038-8004-25f82301abcd/digits_tall_1743034502221.jpg""}]",GNOG,DraftKings
Digits,Slots,"[{""GameImageId"":10307,""GameId"":0,""ImageKey"":""animatedSquare"",""ImageName"":""https://casino.draftkings.com/static/games/DraftKings/ab46f24d-cccb-4038-8004-25f82301abcd/Digits_1731528762906.webp""},{""GameImageId"":16487,""GameId"":0,""ImageKey"":""featuredGameBreakout"",""ImageName"":""https://www.goldennuggetcasino.com/static/games/DraftKings/ab46f24d-cccb-4038-8004-25f82301abcd/FeaturedBreakout_Digits_978x411_1758185275552.png""},{""GameImageId"":9286,""GameId"":0,""ImageKey"":""featuredGameV2"",""ImageName"":""https://www.goldennuggetcasino.com/static/games/DraftKings/ab46f24d-cccb-4038-8004-25f82301abcd/digits_featuredBanner_1743034495884.jpg""},{""GameImageId"":4407,""GameId"":0,""ImageKey"":""round"",""ImageName"":""https://www.goldennuggetcasino.com/static/games/DraftKings/ab46f24d-cccb-4038-8004-25f82301abcd/digits_square_1743034488925.jpg""},{""GameImageId"":4406,""GameId"":0,""ImageKey"":""square"",""ImageName"":""https://www.goldennuggetcasino.com/static/games/DraftKings/ab46f24d-cccb-4038-8004-25f82301abcd/digits_square_1743034483382.jpg""},{""GameImageId"":16351,""GameId"":0,""ImageKey"":""squareBreakout"",""ImageName"":""https://www.goldennuggetcasino.com/static/games/DraftKings/ab46f24d-cccb-4038-8004-25f82301abcd/JumboBreakout_DKDigits_510x510_1758038795137.png""},{""GameImageId"":9359,""GameId"":0,""ImageKey"":""tallTile"",""ImageName"":""https://www.goldennuggetcasino.com/static/games/DraftKings/ab46f24d-cccb-4038-8004-25f82301abcd/digits_tall_1743034502221.jpg""}]",GNOG,DraftKings
Loki's Luck,Slots,"[{""GameImageId"":12884,""GameId"":0,""ImageKey"":""round"",""ImageName"":""https://www.goldennuggetcasino.com/static/games/DraftKings/a3b0b32d-5516-4a5f-86b3-f7bb2bbda38c/DraftKings Lokis Luck_1742222571308.jpg""},{""GameImageId"":12883,""GameId"":0,""ImageKey"":""square"",""ImageName"":""https://www.goldennuggetcasino.com/static/games/DraftKings/a3b0b32d-5516-4a5f-86b3-f7bb2bbda38c/DraftKings Lokis Luck_1742222566500.jpg""}]",GNOG,DraftKings
Loki's Luck,Slots,"[{""GameImageId"":12884,""GameId"":0,""ImageKey"":""round"",""ImageName"":""https://www.goldennuggetcasino.com/static/games/DraftKings/a3b0b32d-5516-4a5f-86b3-f7bb2bbda38c/DraftKings Lokis Luck_1742222571308.jpg""},{""GameImageId"":12883,""GameId"":0,""ImageKey"":""square"",""ImageName"":""https://www.goldennuggetcasino.com/static/games/DraftKings/a3b0b32d-5516-4a5f-86b3-f7bb2bbda38c/DraftKings Lokis Luck_1742222566500.jpg""}]",GNOG,DraftKings
Neptune Waves of Wonder,Slots,"[{""GameImageId"":13445,""GameId"":0,""ImageKey"":""featuredGameV2"",""ImageName"":""https://www.goldennuggetcasino.com/static/games/DraftKings/a988c64e-25a4-43c1-8898-c5ea96e7ee43/neptune_featuredBanner_1745360281053.jpg""},{""GameImageId"":2079,""GameId"":0,""ImageKey"":""round"",""ImageName"":""https://www.goldennuggetcasino.com/static/games/DraftKings/a988c64e-25a4-43c1-8898-c5ea96e7ee43/neptune_round.png""},{""GameImageId"":2078,""GameId"":0,""ImageKey"":""square"",""ImageName"":""https://www.goldennuggetcasino.com/static/games/DraftKings/a988c64e-25a4-43c1-8898-c5ea96e7ee43/neptune_square_1745360273705.jpg""},{""GameImageId"":13446,""GameId"":0,""ImageKey"":""tallTile"",""ImageName"":""https://www.goldennuggetcasino.com/static/games/DraftKings/a988c64e-25a4-43c1-8898-c5ea96e7ee43/neptune_tall_1745360286965.jpg""}]",GNOG,DraftKings
Neptune Waves of Wonder,Slots,"[{""GameImageId"":13445,""GameId"":0,""ImageKey"":""featuredGameV2"",""ImageName"":""https://www.goldennuggetcasino.com/static/games/DraftKings/a988c64e-25a4-43c1-8898-c5ea96e7ee43/neptune_featuredBanner_1745360281053.jpg""},{""GameImageId"":2079,""GameId"":0,""ImageKey"":""round"",""ImageName"":""https://www.goldennuggetcasino.com/static/games/DraftKings/a988c64e-25a4-43c1-8898-c5ea96e7ee43/neptune_round.png""},{""GameImageId"":2078,""GameId"":0,""ImageKey"":""square"",""ImageName"":""https://www.goldennuggetcasino.com/static/games/DraftKings/a988c64e-25a4-43c1-8898-c5ea96e7ee43/neptune_square_1745360273705.jpg""},{""GameImageId"":13446,""GameId"":0,""ImageKey"":""tallTile"",""ImageName"":""https://www.goldennuggetcasino.com/static/games/DraftKings/a988c64e-25a4-43c1-8898-c5ea96e7ee43/neptune_tall_1745360286965.jpg""}]",GNOG,DraftKings
Just Kitten Around,Slots,"[{""GameImageId"":13659,""GameId"":0,""ImageKey"":""featuredGameV2"",""ImageName"":""https://www.goldennuggetcasino.com/static/games/DraftKings/a9aaa93a-8709-4cbd-8d38-fab4a8d6d51f/justKittenAround_featuredBanner_1745359846107.jpg""},{""GameImageId"":2270,""GameId"":0,""ImageKey"":""round"",""ImageName"":""https://www.goldennuggetcasino.com/static/games/DraftKings/a9aaa93a-8709-4cbd-8d38-fab4a8d6d51f/justKittenAround_square_1745359837731.jpg""},{""GameImageId"":2269,""GameId"":0,""ImageKey"":""square"",""ImageName"":""https://www.goldennuggetcasino.com/static/games/DraftKings/a9aaa93a-8709-4cbd-8d38-fab4a8d6d51f/justKittenAround_square_1745359831501.jpg""},{""GameImageId"":13660,""GameId"":0,""ImageKey"":""tallTile"",""ImageName"":""https://www.goldennuggetcasino.com/static/games/DraftKings/a9aaa93a-8709-4cbd-8d38-fab4a8d6d51f/justKittenAround_tall_1745359853248.jpg""}]",GNOG,DraftKings
Just Kitten Around,Slots,"[{""GameImageId"":13659,""GameId"":0,""ImageKey"":""featuredGameV2"",""ImageName"":""https://www.goldennuggetcasino.com/static/games/DraftKings/a9aaa93a-8709-4cbd-8d38-fab4a8d6d51f/justKittenAround_featuredBanner_1745359846107.jpg""},{""GameImageId"":2270,""GameId"":0,""ImageKey"":""round"",""ImageName"":""https://www.goldennuggetcasino.com/static/games/DraftKings/a9aaa93a-8709-4cbd-8d38-fab4a8d6d51f/justKittenAround_square_1745359837731.jpg""},{""GameImageId"":2269,""GameId"":0,""ImageKey"":""square"",""ImageName"":""https://www.goldennuggetcasino.com/static/games/DraftKings/a9aaa93a-8709-4cbd-8d38-fab4a8d6d51f/justKittenAround_square_1745359831501.jpg""},{""GameImageId"":13660,""GameId"":0,""ImageKey"":""tallTile"",""ImageName"":""https://www.goldennuggetcasino.com/static/games/DraftKings/a9aaa93a-8709-4cbd-8d38-fab4a8d6d51f/justKittenAround_tall_1745359853248.jpg""}]",GNOG,DraftKings
Hop It & Profit,Slots,"[{""GameImageId"":16840,""GameId"":0,""ImageKey"":""featuredGameBreakout"",""ImageName"":""https://www.goldennuggetcasino.com/static/games/DraftKings/40d300b0-1724-453e-a668-5a1cb33a7544/FeaturedBreakout_HopItAndProfit_978 x 411_1760444402691.png""},{""GameImageId"":12882,""GameId"":0,""ImageKey"":""round"",""ImageName"":""https://www.goldennuggetcasino.com/static/games/DraftKings/40d300b0-1724-453e-a668-5a1cb33a7544/DraftKings Hop It and Profit_1742222519945.jpg""},{""GameImageId"":12881,""GameId"":0,""ImageKey"":""square"",""ImageName"":""https://www.goldennuggetcasino.com/static/games/DraftKings/40d300b0-1724-453e-a668-5a1cb33a7544/DraftKings Hop It and Profit_1742222514407.jpg""}]",GNOG,DraftKings
Hop It & Profit,Slots,"[{""GameImageId"":16840,""GameId"":0,""ImageKey"":""featuredGameBreakout"",""ImageName"":""https://www.goldennuggetcasino.com/static/games/DraftKings/40d300b0-1724-453e-a668-5a1cb33a7544/FeaturedBreakout_HopItAndProfit_978 x 411_1760444402691.png""},{""GameImageId"":12882,""GameId"":0,""ImageKey"":""round"",""ImageName"":""https://www.goldennuggetcasino.com/static/games/DraftKings/40d300b0-1724-453e-a668-5a1cb33a7544/DraftKings Hop It and Profit_1742222519945.jpg""},{""GameImageId"":12881,""GameId"":0,""ImageKey"":""square"",""ImageName"":""https://www.goldennuggetcasino.com/static/games/DraftKings/40d300b0-1724-453e-a668-5a1cb33a7544/DraftKings Hop It and Profit_1742222514407.jpg""}]",GNOG,DraftKings
Playboy Diamonds,Slots,"[{""GameImageId"":11768,""GameId"":0,""ImageKey"":""featuredGameV2"",""ImageName"":""https://www.goldennuggetcasino.com/static/games/DraftKings/b4ce3d8b-5aaf-4143-808f-67dcb1bfd81d/playboyDiamonds_featuredBanner_1745360426538.jpg""},{""GameImageId"":5803,""GameId"":0,""ImageKey"":""round"",""ImageName"":""https://www.goldennuggetcasino.com/static/games/DraftKings/b4ce3d8b-5aaf-4143-808f-67dcb1bfd81d/playboyDiamonds_square_1745360420184.jpg""},{""GameImageId"":5802,""GameId"":0,""ImageKey"":""square"",""ImageName"":""https://www.goldennuggetcasino.com/static/games/DraftKings/b4ce3d8b-5aaf-4143-808f-67dcb1bfd81d/playboyDiamonds_square_1745360415095.jpg""},{""GameImageId"":11769,""GameId"":0,""ImageKey"":""tallTile"",""ImageName"":""https://www.goldennuggetcasino.com/static/games/DraftKings/b4ce3d8b-5aaf-4143-808f-67dcb1bfd81d/playboyDiamonds_tall_1745360433700.jpg""}]",GNOG,DraftKings
